epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2539.08,0.88835,1.53904,0.99042,0.4418,0.09209,0.09678,0.07539,1.1194,4.38551,1.11838,3.55368e-05,3.55368e-05,3.55368e-05
41,2600.72,0.8651,1.80853,0.98318,0.50468,0.08,0.09705,0.07505,1.10309,4.32493,1.10869,3.2448e-05,3.2448e-05,3.2448e-05
42,2662.44,0.90618,2.01615,1.00067,0.50133,0.08275,0.08169,0.06161,1.0941,4.30507,1.09645,2.93592e-05,2.93592e-05,2.93592e-05
43,2724.01,0.85812,1.96984,0.9545,0.3968,0.09413,0.08904,0.06773,1.10768,4.31066,1.1089,2.62704e-05,2.62704e-05,2.62704e-05
44,2785.32,0.83692,1.72687,0.94074,0.39592,0.11267,0.09621,0.07464,1.10578,4.32934,1.11281,2.31816e-05,2.31816e-05,2.31816e-05
45,2846.84,0.85084,1.81648,0.97841,0.39556,0.11323,0.09536,0.07521,1.11354,4.34297,1.12068,2.00928e-05,2.00928e-05,2.00928e-05
46,2908.58,0.77794,1.74083,0.96254,0.39072,0.11268,0.09639,0.07698,1.12123,4.35218,1.12438,1.7004e-05,1.7004e-05,1.7004e-05
47,2970.2,0.86518,1.66045,0.99967,0.37395,0.10225,0.0891,0.07023,1.1118,4.35465,1.12208,1.39152e-05,1.39152e-05,1.39152e-05
48,3031.69,0.83537,1.68605,0.98265,0.381,0.10297,0.08586,0.06709,1.12014,4.35051,1.13028,1.08264e-05,1.08264e-05,1.08264e-05
49,3092.62,0.89357,1.68719,1.00534,0.40903,0.10235,0.08526,0.06723,1.11865,4.35575,1.12935,7.7376e-06,7.7376e-06,7.7376e-06
50,3154.11,0.8076,1.65603,0.95455,0.40422,0.10225,0.0863,0.06821,1.12778,4.34612,1.13355,4.6488e-06,4.6488e-06,4.6488e-06
